"Team","League","Year.x","RS","RA.x","W.x","OBP","SLG","BA","Playoffs.x","RankSeason","RankPlayoffs","G.x","OOBP","OSLG","Playoffs2","current.x","join_val","X.x","Rk","Year.y","Tm.x","Lg","G.y","W.y","L.x","Ties","W.L..x","pythW.L.","Finish","GB","Playoffs.y","R.x","RA.y","Attendance","BatAge","PAge.x","Num.Bat","Num.P","Top.Player","Managers","current.y","WAR","Abv","X.y","Tm.y","X.P","PAge.y","RA.G","W","L.y","W.L..y","ERA","G","GS","GF","CG","tSho","cSho","SV","IP","H","R.y","ER","HR","BB","IBB","SO","HBP","BK","WP","BF","ERA.","FIP","WHIP","H9","HR9","BB9","SO9","SO.W","LOB","Year","current","ERAP","SV.G","CG.G","tSho.G","cSho.G","RS.G","win_adj"
"HOU","NL",2012,583,794,55,0.302,0.371,0.236,0,NA,NA,162,0.337,0.427,"NO","HOU","HOU - 2012",1045,5,2012,"Houston Astros","NL Central",162,55,107,0,0.34,0.362,"6th of 6","42","",583,794,1607733,26.6,27.2,50,26,"L.Harrell (3.0)","B.Mills (39-82) and T.DeFrancesco (16-25)","Houston Astros",3,"HOU",1319,"HOU",26,27.2,4.9,55,107,0.34,4.56,162,162,159,3,11,2,31,1423.1,1493,794,721,173,540,40,1170,48,6,75,6238,89,4.27,1.428,9.4,1.1,3.4,7.4,2.17,7.24691358024691,2012,"HOU",89,0.191358024691358,0.0185185185185185,0.0679012345679012,0.0123456790123457,3.59876543209877,55
"KCR","AL",2012,676,746,72,0.317,0.4,0.265,0,NA,NA,162,0.339,0.423,"NO","KCR","KCR - 2012",1100,5,2012,"Kansas City Royals","AL Central",162,72,90,0,0.444,0.455,"3rd of 5","16","",676,746,1739859,26.1,27.3,46,25,"A.Gordon (6.3)","N.Yost (72-90)","Kansas City Royals",6.3,"KCR",1320,"KCR",25,27.3,4.6,72,90,0.444,4.3,162,162,160,2,12,1,44,1451.1,1504,746,693,163,542,44,1177,60,8,49,6251,98,4.18,1.41,9.3,1,3.4,7.3,2.17,7.10493827160494,2012,"KCR",98,0.271604938271605,0.0123456790123457,0.0740740740740741,0.00617283950617284,4.17283950617284,72
"LAA","AL",2012,767,699,89,0.332,0.433,0.274,0,NA,NA,162,0.31,0.403,"NO","LAA","LAA - 2012",1148,5,2012,"Los Angeles Angels of Anaheim","AL West",162,89,73,0,0.549,0.542,"3rd of 4","5","",767,699,3061770,28.8,30.1,44,23,"M.Trout (10.8)","M.Scioscia (89-73)","Los Angeles Angels of Anaheim",10.8,"LAA",1321,"LAA",23,30.1,4.31,89,73,0.549,4.02,162,162,156,6,16,5,38,1433.1,1339,699,640,186,483,20,1157,40,2,38,6034,95,4.26,1.271,8.4,1.2,3,7.3,2.4,6.38888888888889,2012,"LAA",95,0.234567901234568,0.037037037037037,0.0987654320987654,0.0308641975308642,4.73456790123457,89
"LAD","NL",2012,637,597,86,0.317,0.374,0.252,0,NA,NA,162,0.31,0.364,"NO","LAD","LAD - 2012",1204,5,2012,"Los Angeles Dodgers","NL West",162,86,76,0,0.531,0.53,"2nd of 5","8","",637,597,3324246,30.4,29,50,25,"C.Kershaw (6.6)","D.Mattingly (86-76)","Los Angeles Dodgers",6.6,"LAD",1322,"LAD",25,29,3.69,86,76,0.531,3.34,162,162,160,2,10,2,40,1449.2,1277,597,538,122,539,62,1276,45,2,46,6068,114,3.64,1.253,7.9,0.8,3.3,7.9,2.37,6.92592592592593,2012,"LAD",114,0.246913580246914,0.0123456790123457,0.0617283950617284,0.0123456790123457,3.9320987654321,86
"MIA","NL",2012,609,724,69,0.308,0.382,0.244,0,NA,NA,162,0.327,0.399,"NO","MIA","MIA - 2012",1337,5,2012,"Miami Marlins","NL East",162,69,93,0,0.426,0.422,"5th of 5","29","",609,724,2219444,28.3,28.8,45,21,"G.Stanton (5.5)","O.Guillen (69-93)","Miami Marlins",5.5,"MIA",1323,"MIA",21,28.8,4.47,69,93,0.426,4.09,162,162,157,5,7,3,38,1440.2,1448,724,655,133,495,61,1113,55,4,36,6186,100,3.9,1.349,9,0.8,3.1,7,2.25,7.03703703703704,2012,"MIA",100,0.234567901234568,0.0308641975308642,0.0432098765432099,0.0185185185185185,3.75925925925926,69
"MIL","NL",2012,776,733,83,0.325,0.437,0.259,0,NA,NA,162,0.326,0.414,"NO","MIL","MIL - 2012",1361,5,2012,"Milwaukee Brewers","NL Central",162,83,79,0,0.512,0.526,"3rd of 6","14","",776,733,2831385,29.2,29,46,23,"R.Braun (6.9)","R.Roenicke (83-79)","Milwaukee Brewers",6.9,"MIL",1324,"MIL",23,29,4.52,83,79,0.512,4.22,162,162,162,0,9,0,44,1453.2,1458,733,682,169,525,20,1402,31,5,57,6245,98,3.82,1.364,9,1,3.3,8.7,2.67,7.10493827160494,2012,"MIL",98,0.271604938271605,0,0.0555555555555556,0,4.79012345679012,83
"MIN","AL",2012,701,832,66,0.325,0.39,0.26,0,NA,NA,162,0.333,0.442,"NO","MIN","MIN - 2012",1409,5,2012,"Minnesota Twins","AL Central",162,66,96,0,0.407,0.422,"5th of 5","22","",701,832,2776354,28.8,27.8,47,25,"D.Span (5.0)","R.Gardenhire (66-96)","Minnesota Twins",5,"MIN",1325,"MIN",25,27.8,5.14,66,96,0.407,4.77,162,162,159,3,6,1,35,1438.2,1536,832,762,198,465,43,943,57,2,60,6214,86,4.66,1.391,9.6,1.2,2.9,5.9,2.03,6.58024691358025,2012,"MIN",86,0.216049382716049,0.0185185185185185,0.037037037037037,0.00617283950617284,4.32716049382716,66
"NYM","NL",2012,650,709,74,0.316,0.386,0.249,0,NA,NA,162,0.315,0.401,"NO","NYM","NYM - 2012",1525,5,2012,"New York Mets","NL East",162,74,88,0,0.457,0.46,"4th of 5","24","",650,709,2242803,27.9,30.3,49,28,"D.Wright (7.0)","T.Collins (74-88)","New York Mets",7,"NYM",1326,"NYM",28,30.3,4.38,74,88,0.457,4.09,162,162,155,7,13,5,36,1434,1368,709,651,161,488,29,1240,40,3,40,6086,93,3.93,1.294,8.6,1,3.1,7.8,2.54,6.6358024691358,2012,"NYM",93,0.222222222222222,0.0432098765432099,0.0802469135802469,0.0308641975308642,4.01234567901235,74
"NYY","AL",2012,804,668,95,0.337,0.453,0.265,1,3,3,162,0.311,0.419,"YES","NYY","NYY - 2012",1580,5,2012,"New York Yankees","AL East",162,95,67,0,0.586,0.584,"1st of 5","--","Lost ALCS (4-0)",804,668,3542406,32.7,30.3,45,23,"R.Cano (8.4)","J.Girardi (95-67)","New York Yankees",8.4,"NYY",1327,"NYY",24,30.3,4.12,95,67,0.586,3.84,162,162,156,6,9,2,51,1445.1,1401,668,617,190,431,32,1318,49,9,53,6085,110,3.98,1.268,8.7,1.2,2.7,8.2,3.06,6.67283950617284,2012,"NYY",110,0.314814814814815,0.037037037037037,0.0555555555555556,0.0123456790123457,4.96296296296296,95
"OAK","AL",2012,713,614,94,0.31,0.404,0.238,1,4,4,162,0.306,0.378,"YES","OAK","OAK - 2012",1694,5,2012,"Oakland Athletics","AL West",162,94,68,0,0.58,0.568,"1st of 4","--","Lost LDS (3-2)",713,614,1679013,27.7,27.9,50,25,"J.Reddick (5.0)","B.Melvin (94-68)","Oakland Athletics",5,"OAK",1328,"OAK",25,27.9,3.79,94,68,0.58,3.48,162,162,161,1,13,0,47,1470,1360,614,569,147,462,34,1136,46,5,40,6131,112,3.89,1.239,8.3,0.9,2.8,7,2.46,6.83333333333333,2012,"OAK",112,0.290123456790123,0.00617283950617284,0.0802469135802469,0,4.40123456790123,94
"PHI","NL",2012,684,680,81,0.317,0.4,0.255,0,NA,NA,162,0.306,0.407,"NO","PHI","PHI - 2012",1810,5,2012,"Philadelphia Phillies","NL East",162,81,81,0,0.5,0.503,"3rd of 5","17","",684,680,3565718,31.1,29.1,49,24,"C.Hamels (5.2)","C.Manuel (81-81)","Philadelphia Phillies",5.2,"PHI",1329,"PHI",24,29.1,4.2,81,81,0.5,3.83,162,162,157,5,11,4,42,1451.1,1387,680,618,178,409,33,1385,44,3,30,6072,105,3.72,1.237,8.6,1.1,2.5,8.6,3.39,6.40740740740741,2012,"PHI",105,0.259259259259259,0.0308641975308642,0.0679012345679012,0.0246913580246914,4.22222222222222,81
"PIT","NL",2012,651,674,79,0.304,0.395,0.243,0,NA,NA,162,0.314,0.39,"NO","PIT","PIT - 2012",1944,5,2012,"Pittsburgh Pirates","NL Central",162,79,83,0,0.488,0.484,"4th of 6","18","",651,674,2091918,27.6,30.2,49,25,"A.McCutchen (7.0)","C.Hurdle (79-83)","Pittsburgh Pirates",7,"PIT",1330,"PIT",25,30.2,4.16,79,83,0.488,3.86,162,162,160,2,10,1,45,1433.1,1357,674,615,153,490,30,1192,45,3,45,6097,97,3.93,1.289,8.5,1,3.1,7.5,2.43,6.9320987654321,2012,"PIT",97,0.277777777777778,0.0123456790123457,0.0617283950617284,0.00617283950617284,4.01851851851852,79
"SDP","NL",2012,651,710,76,0.319,0.38,0.247,0,NA,NA,162,0.319,0.398,"NO","SDP","SDP - 2012",2079,5,2012,"San Diego Padres","NL West",162,76,86,0,0.469,0.46,"4th of 5","18","",651,710,2123721,27.4,28,53,30,"C.Headley (6.3)","B.Black (76-86)","San Diego Padres",6.3,"SDP",1331,"SDP",30,28,4.38,76,86,0.469,4.01,162,162,158,4,11,3,43,1434.2,1356,710,640,162,539,48,1205,48,8,49,6151,90,4.11,1.321,8.5,1,3.4,7.6,2.24,7.01851851851852,2012,"SDP",90,0.265432098765432,0.0246913580246914,0.0679012345679012,0.0185185185185185,4.01851851851852,76
"SEA","AL",2012,619,651,75,0.296,0.369,0.234,0,NA,NA,162,0.308,0.394,"NO","SEA","SEA - 2012",2261,5,2012,"Seattle Mariners","AL West",162,75,87,0,0.463,0.477,"4th of 4","19","",619,651,1721920,27.1,27.9,38,18,"F.Hernandez (4.8)","E.Wedge (75-87)","Seattle Mariners",4.8,"SEA",1332,"SEA",18,27.9,4.02,75,87,0.463,3.76,162,162,154,8,11,6,43,1456.2,1359,651,608,166,449,39,1166,49,5,61,6062,102,4,1.241,8.4,1,2.8,7.2,2.6,6.41358024691358,2012,"SEA",102,0.265432098765432,0.0493827160493827,0.0679012345679012,0.037037037037037,3.82098765432099,75
"SFG","NL",2012,718,649,94,0.327,0.397,0.269,1,4,1,162,0.313,0.393,"YES","SFG","SFG - 2012",2127,5,2012,"San Francisco Giants","NL West",162,94,68,0,0.58,0.546,"1st of 5","--","Won WS (4-0)",718,649,3377371,27.8,30,45,23,"B.Posey (7.3)","B.Bochy (94-68)","San Francisco Giants",7.3,"SFG",1333,"SFG",23,30,4.01,94,68,0.58,3.68,162,162,157,5,14,4,53,1451,1361,649,593,142,489,42,1237,51,4,54,6138,96,3.78,1.275,8.4,0.9,3,7.7,2.53,7.01234567901235,2012,"SFG",96,0.327160493827161,0.0308641975308642,0.0864197530864197,0.0246913580246914,4.4320987654321,94
"STL","NL",2012,765,648,88,0.338,0.421,0.271,1,6,3,162,0.313,0.387,"YES","STL","STL - 2012",2301,5,2012,"St. Louis Cardinals","NL Central",162,88,74,0,0.543,0.575,"2nd of 6","9","Lost NLCS (4-3)",765,648,3262109,29.2,28.6,45,24,"Y.Molina (6.9)","M.Matheny (88-74)","St. Louis Cardinals",6.9,"STL",1334,"STL",24,28.6,4,88,74,0.543,3.71,162,162,158,4,10,2,42,1462.2,1420,648,603,134,436,28,1218,50,4,46,6158,103,3.62,1.269,8.7,0.8,2.7,7.5,2.79,6.92592592592593,2012,"STL",103,0.259259259259259,0.0246913580246914,0.0617283950617284,0.0123456790123457,4.72222222222222,88
"TBR","AL",2012,697,577,90,0.317,0.394,0.24,0,NA,NA,162,0.294,0.352,"NO","TBR","TBR - 2012",2436,5,2012,"Tampa Bay Rays","AL East",162,90,72,0,0.556,0.586,"3rd of 5","5","",697,577,1559681,29.7,28.1,43,18,"D.Price (6.9)","J.Maddon (90-72)","Tampa Bay Rays",6.9,"TBR",1335,"TBR",18,28.1,3.56,90,72,0.556,3.19,162,162,155,7,15,4,50,1459.2,1233,577,518,139,469,35,1383,54,4,59,6000,121,3.51,1.166,7.6,0.9,2.9,8.5,2.95,6.44444444444444,2012,"TBR",121,0.308641975308642,0.0432098765432099,0.0925925925925926,0.0246913580246914,4.30246913580247,90
"TEX","AL",2012,808,707,93,0.334,0.446,0.273,1,5,5,162,0.309,0.408,"YES","TEX","TEX - 2012",2455,5,2012,"Texas Rangers","AL West",162,93,69,0,0.574,0.561,"2nd of 4","1","Lost ALWC (1-0)",808,707,3460280,29.7,28.8,39,21,"A.Beltre (7.2)","R.Washington (93-69)","Texas Rangers",7.2,"TEX",1336,"TEX",21,28.8,4.36,93,69,0.574,3.99,162,162,155,7,10,2,43,1442,1378,707,639,175,446,15,1286,41,8,53,6067,109,3.9,1.265,8.6,1.1,2.8,8,2.88,6.38271604938272,2012,"TEX",109,0.265432098765432,0.0432098765432099,0.0617283950617284,0.0123456790123457,4.98765432098765,93
"TOR","AL",2012,716,784,73,0.309,0.407,0.245,0,NA,NA,162,0.335,0.438,"NO","TOR","TOR - 2012",2511,5,2012,"Toronto Blue Jays","AL East",162,73,89,0,0.451,0.459,"4th of 5","22","",716,784,2099663,27.9,27.8,54,34,"E.Encarnacion (5.0)","J.Farrell (73-89)","Toronto Blue Jays",5,"TOR",1337,"TOR",34,27.8,4.84,73,89,0.451,4.64,162,162,157,5,11,4,29,1443.2,1439,784,745,204,574,20,1142,55,7,56,6216,91,4.66,1.394,9,1.3,3.6,7.1,1.99,6.7962962962963,2012,"TOR",91,0.179012345679012,0.0308641975308642,0.0679012345679012,0.0246913580246914,4.41975308641975,73
"WSN","NL",2012,731,594,98,0.322,0.428,0.261,1,1,4,162,0.303,0.373,"YES","WSN","WSN - 2012",2551,5,2012,"Washington Nationals","NL East",162,98,64,0,0.605,0.594,"1st of 5","--","Lost LDS (3-2)",731,594,2370794,27.2,27,43,19,"J.Zimmermann (5.3)","D.Johnson (98-64)","Washington Nationals",5.3,"WSN",1338,"WSN",19,27,3.67,98,64,0.605,3.33,162,162,159,3,9,1,51,1468.1,1296,594,543,129,497,32,1325,47,4,62,6133,120,3.54,1.221,7.9,0.8,3,8.1,2.67,7,2012,"WSN",120,0.314814814814815,0.0185185185185185,0.0555555555555556,0.00617283950617284,4.51234567901235,98
"ARI","NL",2011,731,662,94,0.322,0.413,0.25,1,5,4,162,0.316,0.409,"YES","ARI","ARI - 2011",6,6,2011,"Arizona Diamondbacks","NL West",162,94,68,0,0.58,0.545,"1st of 5","--","Lost LDS (3-2)",731,662,2105432,28.2,27.4,51,25,"J.Upton (6.1)","K.Gibson (94-68)","Arizona Diamondbacks",6.1,"ARI",1279,"ARI",25,27.4,4.09,94,68,0.58,3.8,162,162,157,5,12,1,58,1443.1,1414,662,609,159,442,16,1058,53,7,39,6102,104,4.02,1.286,8.8,1,2.8,6.6,2.39,6.85185185185185,2011,"ARI",104,0.358024691358025,0.0308641975308642,0.0740740740740741,0.00617283950617284,4.51234567901235,94
"ATL","NL",2011,641,605,89,0.308,0.387,0.243,0,NA,NA,162,0.31,0.361,"NO","ATL","ATL - 2011",25,6,2011,"Atlanta Braves","NL East",162,89,73,0,0.549,0.526,"2nd of 5","13","",641,605,2372940,28.9,28.4,45,21,"E.O'Flaherty (3.4)","F.Gonzalez (89-73)","Atlanta Braves",3.4,"ATL",1280,"ATL",21,28.4,3.73,89,73,0.549,3.48,162,162,159,3,16,2,52,1479.2,1332,605,572,125,521,73,1332,53,5,61,6220,110,3.49,1.252,8.1,0.8,3.2,8.1,2.56,7.25925925925926,2011,"ATL",110,0.320987654320988,0.0185185185185185,0.0987654320987654,0.0123456790123457,3.95679012345679,89
"BAL","AL",2011,708,860,69,0.316,0.413,0.257,0,NA,NA,162,0.341,0.46,"NO","BAL","BAL - 2011",166,6,2011,"Baltimore Orioles","AL East",162,69,93,0,0.426,0.412,"5th of 5","28","",708,860,1755461,28.3,28.2,50,27,"M.Wieters (4.9)","B.Showalter (69-93)","Baltimore Orioles",4.9,"BAL",1281,"BAL",27,28.2,5.31,69,93,0.426,4.89,162,162,159,3,7,1,32,1446.2,1568,860,786,210,535,42,1044,45,4,32,6332,86,4.67,1.454,9.8,1.3,3.3,6.5,1.95,6.98765432098765,2011,"BAL",86,0.197530864197531,0.0185185185185185,0.0432098765432099,0.00617283950617284,4.37037037037037,69
"BOS","AL",2011,875,737,90,0.349,0.461,0.28,0,NA,NA,162,0.322,0.392,"NO","BOS","BOS - 2011",282,6,2011,"Boston Red Sox","AL East",162,90,72,0,0.556,0.578,"3rd of 5","7","",875,737,3054001,30,30.3,49,27,"J.Ellsbury (8.1)","T.Francona (90-72)","Boston Red Sox",8.1,"BOS",1282,"BOS",27,30.3,4.55,90,72,0.556,4.2,162,162,160,2,13,1,36,1457.1,1366,737,680,156,540,11,1213,90,7,58,6242,103,4.05,1.308,8.4,1,3.3,7.5,2.25,6.99382716049383,2011,"BOS",103,0.222222222222222,0.0123456790123457,0.0802469135802469,0.00617283950617284,5.40123456790123,90
"CHC","NL",2011,654,756,71,0.314,0.401,0.256,0,NA,NA,162,0.335,0.413,"NO","CHC","CHC - 2011",398,6,2011,"Chicago Cubs","NL Central",162,71,91,0,0.438,0.434,"5th of 6","25","",654,756,3017966,29.3,29.4,42,22,"S.Castro (3.0)","M.Quade (71-91)","Chicago Cubs",3,"CHC",1283,"CHC",22,29.4,4.67,71,91,0.438,4.33,162,162,158,4,5,1,40,1434.1,1439,756,690,162,580,45,1224,53,5,51,6262,90,4.11,1.408,9,1,3.6,7.7,2.11,7.42592592592593,2011,"CHC",90,0.246913580246914,0.0246913580246914,0.0308641975308642,0.00617283950617284,4.03703703703704,71
"CHW","AL",2011,654,706,79,0.319,0.388,0.252,0,NA,NA,162,0.317,0.397,"NO","CHW","CHW - 2011",539,6,2011,"Chicago White Sox","AL Central",162,79,83,0,0.488,0.465,"3rd of 5","16","",654,706,2001117,29.9,28.5,42,22,"M.Buehrle (3.8)","O.Guillen (78-82) and D.Cooper (1-1)","Chicago White Sox",3.8,"CHW",1284,"CHW",22,28.5,4.36,79,83,0.488,4.1,162,162,156,6,14,4,42,1460,1463,706,665,147,439,50,1220,44,4,55,6188,106,3.66,1.303,9,0.9,2.7,7.5,2.78,6.80246913580247,2011,"CHW",106,0.259259259259259,0.037037037037037,0.0864197530864197,0.0246913580246914,4.03703703703704,79
"CIN","NL",2011,735,720,79,0.326,0.408,0.256,0,NA,NA,162,0.325,0.415,"NO","CIN","CIN - 2011",655,6,2011,"Cincinnati Reds","NL Central",162,79,83,0,0.488,0.509,"3rd of 6","17","",735,720,2213588,28.6,27.7,42,21,"J.Votto (6.3)","D.Baker (79-83)","Cincinnati Reds",6.3,"CIN",1285,"CIN",21,27.7,4.44,79,83,0.488,4.16,162,162,158,4,5,2,39,1467.2,1414,720,678,185,539,47,1112,59,13,51,6259,95,4.37,1.331,8.7,1.1,3.3,6.8,2.06,7.01234567901235,2011,"CIN",95,0.240740740740741,0.0246913580246914,0.0308641975308642,0.0123456790123457,4.53703703703704,79
"CLE","AL",2011,704,760,80,0.317,0.396,0.25,0,NA,NA,162,0.323,0.413,"NO","CLE","CLE - 2011",790,6,2011,"Cleveland Indians","AL Central",162,80,82,0,0.494,0.465,"2nd of 5","15","",704,760,1840835,27.8,26.7,46,22,"A.Cabrera (5.0)","M.Acta (80-82)","Cleveland Indians",5,"CLE",1286,"CLE",22,26.7,4.69,80,82,0.494,4.23,162,162,160,2,4,0,38,1453.1,1482,760,683,153,463,34,1024,60,3,42,6235,93,4.06,1.338,9.2,0.9,2.9,6.3,2.21,6.88271604938272,2011,"CLE",93,0.234567901234568,0.0123456790123457,0.0246913580246914,0,4.34567901234568,80
